,x_start,y_start,x_end,y_end,pass_outcome
0,76.6,35.7,116.2,8.9,Pass
1,99.3,57.3,96.7,49.8,Pass
2,67.9,59.0,49.0,60.3,Pass
3,81.8,65.2,70.2,67.7,Pass
4,39.2,48.1,65.3,35.4,Pass
5,120.0,80.0,116.6,54.5,Incomplete
6,108.2,74.4,86.3,67.5,Pass
7,80.5,47.8,105.1,14.7,Pass
8,52.5,56.4,59.5,52.6,Pass
9,95.2,48.5,104.9,35.2,Incomplete
10,89.3,58.8,110.2,56.8,Pass
11,89.5,65.0,99.5,74.6,Pass
12,120.0,80.0,116.4,43.6,Incomplete
13,81.8,38.6,91.4,29.2,Pass
14,45.8,59.4,64.4,73.5,Pass
15,68.1,54.5,81.1,29.9,Pass
16,92.7,47.6,116.8,7.4,Pass
17,80.3,57.7,101.2,8.9,Pass
18,52.9,61.8,62.5,68.2,Pass
19,48.0,42.5,38.1,39.7,Pass
20,44.6,28.4,35.8,23.0,Pass
21,37.5,53.8,44.3,74.2,Pass
22,80.3,56.4,100.8,53.0,Incomplete
23,82.0,22.8,74.7,18.3,Pass
24,61.0,40.1,47.5,37.6,Pass
25,70.6,21.1,87.3,17.3,Pass
26,100.4,65.2,102.1,54.1,Incomplete
27,81.3,32.9,99.7,22.4,Pass
28,77.5,74.6,63.4,77.8,Pass
29,92.4,60.9,111.9,70.1,Pass
30,120.0,80.0,117.9,49.8,Incomplete
31,67.6,71.8,63.1,76.1,Pass
32,64.0,43.4,90.5,25.8,Pass
33,74.7,19.8,87.1,5.3,Pass
34,97.8,9.6,100.1,24.3,Pass
35,57.6,59.6,48.8,53.9,Pass
36,32.6,72.9,73.2,77.0,Incomplete
37,106.8,23.9,98.2,31.8,Pass
38,49.0,66.5,73.0,73.7,Pass
39,85.6,72.7,75.8,68.0,Pass
40,86.7,76.1,95.9,77.8,Pass
41,92.9,64.8,108.5,59.2,Pass
42,61.0,40.1,46.5,43.4,Pass
43,75.8,60.3,77.9,57.1,Incomplete
44,94.6,61.1,86.0,61.3,Pass
45,83.0,51.3,102.9,13.6,Pass
46,120.0,0.1,113.4,35.9,Incomplete
47,30.4,27.5,79.4,11.3,Pass
48,101.4,35.2,102.9,47.9,Pass
49,79.8,72.0,72.8,58.3,Pass
50,78.3,73.9,90.3,74.8,Pass
51,73.6,46.8,78.8,30.1,Pass
52,86.0,34.4,97.0,45.3,Pass
53,103.4,37.6,107.9,47.8,Pass
54,120.0,0.1,102.5,70.1,Pass
55,92.9,60.1,111.5,66.3,Pass
56,91.2,58.8,95.4,49.4,Pass
57,120.0,0.1,112.3,40.0,Incomplete
58,74.1,34.6,92.2,29.9,Pass Offside
59,66.8,62.6,104.9,62.6,Pass
